teamMemberCount,femaleTeamMembersPercent,teamLeadGender,teamDistribution,teamMemberResponseCount,meetingHoursTotal,meetingHoursAverage,meetingHoursStandardDeviation,inPersonMeetingHoursTotal,inPersonMeetingHoursAverage,inPersonMeetingHoursStandardDeviation,nonCodingDeliverablesHoursTotal,nonCodingDeliverablesHoursAverage,nonCodingDeliverablesHoursStandardDeviation,codingDeliverablesHoursTotal,codingDeliverablesHoursAverage,codingDeliverablesHoursStandardDeviation,helpHoursTotal,helpHoursAverage,helpHoursStandardDeviation,averageResponsesByWeek,standardDeviationResponsesByWeek,averageMeetingHoursTotalByWeek,standardDeviationMeetingHoursTotalByWeek,averageMeetingHoursByWeek,standardDeviationMeetingHoursAverageByWeek,averageInPersonMeetingHoursTotalByWeek,standardDeviationInPersonMeetingHoursTotalByWeek,averageInPersonMeetingHoursAverageByWeek,standardDeviationInPersonMeetingHoursAverageByWeek,averageNonCodingDeliverablesHoursTotalByWeek,standardDeviationNonCodingDeliverablesHoursTotalByWeek,averageNonCodingDeliverablesHoursAverageByWeek,standardDeviationNonCodingDeliverablesHoursAverageByWeek,averageCodingDeliverablesHoursTotalByWeek,standardDeviationCodingDeliverablesHoursTotalByWeek,averageCodingDeliverablesHoursAverageByWeek,standardDeviationCodingDeliverablesHoursAverageByWeek,averageHelpHoursTotalByWeek,standardDeviationHelpHoursTotalByWeek,averageHelpHoursAverageByWeek,standardDeviationHelpHoursAverageByWeek,averageResponsesByStudent,standardDeviationResponsesByStudent,averageMeetingHoursTotalByStudent,standardDeviationMeetingHoursTotalByStudent,averageMeetingHoursAverageByStudent,standardDeviationMeetingHoursAverageByStudent,averageInPersonMeetingHoursTotalByStudent,standardDeviationInPersonMeetingHoursTotalByStudent,averageInPersonMeetingHoursAverageByStudent,standardDeviationInPersonMeetingHoursAverageByStudent,averageNonCodingDeliverablesHoursTotalByStudent,standardDeviationNonCodingDeliverablesHoursTotalByStudent,averageNonCodingDeliverablesHoursAverageByStudent,standardDeviationNonCodingDeliverablesHoursAverageByStudent,averageCodingDeliverablesHoursTotalByStudent,standardDeviationCodingDeliverablesHoursTotalByStudent,averageCodingDeliverablesHoursAverageByStudent,standardDeviationCodingDeliverablesHoursAverageByStudent,averageHelpHoursTotalByStudent,standardDeviationHelpHoursTotalByStudent,averageHelpHoursAverageByStudent,standardDeviationHelpHoursAverageByStudent,commitCount,uniqueCommitMessageCount,uniqueCommitMessagePercent,commitMessageLengthTotal,commitMessageLengthAverage,commitMessageLengthStandardDeviation,averageCommitCountByWeek,standardDeviationCommitCountByWeek,averageUniqueCommitMessageCountByWeek,standardDeviationUniqueCommitMessageCountByWeek,averageUniqueCommitMessagePercentByWeek,standardDeviationUniqueCommitMessagePercentByWeek,averageCommitMessageLengthTotalByWeek,standardDeviationCommitMessageLengthTotalByWeek,averageCommitCountByStudent,standardDeviationCommitCountByStudent,averageUniqueCommitMessageCountByStudent,issueCount,onTimeIssueCount,lateIssueCount,SE Process grade
numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,string
3.000,0.000,0.000,1.000,1.000,2.000,2.000,0.000,2.000,2.000,0.000,6.000,6.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.000,0.000,2.000,0.000,2.000,0.000,2.000,0.000,2.000,0.000,6.000,0.000,6.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,2.000,0.000,2.000,0.000,2.000,0.000,2.000,0.000,6.000,0.000,6.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,4.000,3.000,0.750,57.000,14.250,14.463,4.000,0.000,3.000,0.000,0.750,0.000,57.000,0.000,4.000,0.000,3.000,2.000,2.000,0.000,F
3.000,0.333,1.000,1.000,3.000,9.714,3.238,3.300,6.286,2.095,1.700,4.571,1.524,0.943,1.714,0.571,0.816,8.000,2.667,3.091,3.000,0.000,9.714,0.000,3.238,0.000,6.286,0.000,2.095,0.000,4.571,0.000,1.524,0.000,1.714,0.000,0.571,0.000,8.000,0.000,2.667,0.000,1.000,0.000,3.238,1.886,3.238,1.886,2.095,0.971,2.095,0.971,1.524,0.539,1.524,0.539,0.571,0.467,0.571,0.467,2.667,1.766,2.667,1.766,4.000,3.000,0.750,127.000,31.750,6.534,4.000,0.000,3.000,0.000,0.750,0.000,127.000,0.000,4.000,0.000,3.000,2.000,2.000,0.000,A
4.000,0.000,0.000,1.000,3.000,4.000,1.333,0.471,3.429,1.143,0.000,6.286,2.095,0.471,1.714,0.571,0.816,1.714,0.571,0.000,3.000,0.000,4.000,0.000,1.333,0.000,3.429,0.000,1.143,0.000,6.286,0.000,2.095,0.000,1.714,0.000,0.571,0.000,1.714,0.000,0.571,0.000,1.000,0.000,1.333,0.269,1.333,0.269,1.143,0.000,1.143,0.000,2.095,0.269,2.095,0.269,0.571,0.467,0.571,0.467,0.571,0.000,0.571,0.000,7.000,1.000,0.143,0.000,0.000,0.000,7.000,0.000,1.000,0.000,0.143,0.000,0.000,0.000,7.000,0.000,1.000,1.000,1.000,0.000,F
6.000,0.000,0.000,0.000,1.000,2.000,2.000,0.000,1.000,1.000,0.000,1.500,1.500,0.000,0.000,0.000,0.000,1.000,1.000,0.000,1.000,0.000,2.000,0.000,2.000,0.000,1.000,0.000,1.000,0.000,1.500,0.000,1.500,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,2.000,0.000,2.000,0.000,1.000,0.000,1.000,0.000,1.500,0.000,1.500,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,2.000,2.000,1.000,45.000,22.500,4.500,2.000,0.000,2.000,0.000,1.000,0.000,45.000,0.000,2.000,0.000,2.000,0.000,0.000,0.000,A
6.000,0.167,0.000,0.000,3.000,11.000,3.667,1.700,5.000,1.667,0.471,23.000,7.667,3.771,9.000,3.000,4.243,3.000,1.000,0.000,3.000,0.000,11.000,0.000,3.667,0.000,5.000,0.000,1.667,0.000,23.000,0.000,7.667,0.000,9.000,0.000,3.000,0.000,3.000,0.000,1.000,0.000,1.000,0.000,3.667,1.700,3.667,1.700,1.667,0.471,1.667,0.471,7.667,3.771,7.667,3.771,3.000,4.243,3.000,4.243,1.000,0.000,1.000,0.000,1.000,1.000,1.000,13.000,13.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,13.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,A
6.000,0.167,0.000,0.000,7.000,10.286,1.469,0.678,10.286,1.469,0.678,8.571,1.224,1.245,0.857,0.122,0.525,4.286,0.612,0.562,7.000,0.000,10.286,0.000,1.469,0.000,10.286,0.000,1.469,0.000,8.571,0.000,1.224,0.000,0.857,0.000,0.122,0.000,4.286,0.000,0.612,0.000,1.167,0.373,1.714,0.286,1.524,0.213,1.714,0.286,1.524,0.213,1.429,0.857,1.190,0.581,0.143,0.319,0.143,0.319,0.714,0.396,0.619,0.347,4.000,2.000,0.500,153.000,38.250,6.495,4.000,0.000,2.000,0.000,0.500,0.000,153.000,0.000,4.000,0.000,2.000,0.000,0.000,0.000,A
7.000,0.143,0.000,0.000,9.000,13.714,1.524,0.850,12.000,1.333,0.972,10.000,1.111,1.117,28.571,3.175,15.012,5.143,0.571,1.155,9.000,0.000,13.714,0.000,1.524,0.000,12.000,0.000,1.333,0.000,10.000,0.000,1.111,0.000,28.571,0.000,3.175,0.000,5.143,0.000,0.571,0.000,1.286,0.452,1.959,0.800,1.551,0.503,1.714,0.966,1.306,0.589,1.429,1.069,1.041,0.694,4.082,9.535,4.041,9.550,0.735,0.663,0.653,0.695,11.000,10.000,0.909,291.000,26.455,14.798,5.500,3.500,5.000,3.000,0.944,0.056,145.500,94.500,1.833,0.898,1.833,0.000,0.000,0.000,A
6.000,0.167,0.000,0.000,10.000,17.143,1.714,2.408,14.286,1.429,1.565,16.000,1.600,1.600,2.286,0.229,0.663,10.571,1.057,1.733,10.000,0.000,17.143,0.000,1.714,0.000,14.286,0.000,1.429,0.000,16.000,0.000,1.600,0.000,2.286,0.000,0.229,0.000,10.571,0.000,1.057,0.000,1.667,0.471,2.857,1.475,2.000,1.503,2.381,1.163,1.524,0.785,2.667,1.463,1.619,0.713,0.381,0.539,0.190,0.269,1.762,1.074,1.119,0.586,9.000,8.000,0.889,312.000,34.667,26.870,9.000,0.000,8.000,0.000,0.889,0.000,312.000,0.000,9.000,0.000,8.000,0.000,0.000,0.000,A
6.000,0.167,0.000,0.000,8.000,9.714,1.214,0.599,6.286,0.786,0.696,8.000,1.000,0.661,4.000,0.500,1.965,4.571,0.571,0.500,8.000,0.000,9.714,0.000,1.214,0.000,6.286,0.000,0.786,0.000,8.000,0.000,1.000,0.000,4.000,0.000,0.500,0.000,4.571,0.000,0.571,0.000,1.333,0.471,1.619,0.768,1.190,0.347,1.048,0.693,0.762,0.426,1.333,0.632,1.000,0.396,0.667,1.253,0.381,0.632,0.762,0.539,0.524,0.256,3.000,2.000,0.667,112.000,37.333,17.913,3.000,0.000,2.000,0.000,0.667,0.000,112.000,0.000,3.000,0.000,2.000,0.000,0.000,0.000,A
