teamMemberCount,femaleTeamMembersPercent,teamLeadGender,teamDistribution,teamMemberResponseCount,meetingHoursTotal,meetingHoursAverage,meetingHoursStandardDeviation,inPersonMeetingHoursTotal,inPersonMeetingHoursAverage,inPersonMeetingHoursStandardDeviation,nonCodingDeliverablesHoursTotal,nonCodingDeliverablesHoursAverage,nonCodingDeliverablesHoursStandardDeviation,codingDeliverablesHoursTotal,codingHoursAverage,codingDeliverablesHoursStandardDeviation,helpHoursTotal,helpHoursAverage,helpHoursStandardDeviation,averageResponsesByWeek,standardDeviationResponsesByWeek,averageMeetingHoursTotalByWeek,standardDeviationMeetingHoursTotalByWeek,averageMeetingHoursByWeek,standardDeviationMeetingHoursAverageByWeek,averageInPersonMeetingHoursTotalByWeek,standardDeviationInPersonMeetingHoursTotalByWeek,averageInPersonMeetingHoursAverageByWeek,standardDeviationInPersonMeetingHoursAverageByWeek,averageNonCodingDeliverablesHoursTotalByWeek,standardDeviationNonCodingDeliverablesHoursTotalByWeek,averageNonCodingDeliverablesHoursAverageByWeek,standardDeviationNonCodingDeliverablesHoursAverageByWeek,averageCodingDeliverablesHoursTotalByWeek,standardDeviationCodingDeliverablesHoursTotalByWeek,averageCodingDeliverablesHoursAverageByWeek,standardDeviationCodingDeliverablesHoursAverageByWeek,averageHelpHours,standardDeviationHelpHoursTotalByWeek,averageHelpHoursAverageByWeek,standardDeviationHelpHoursAverageByWeek,averageResponsesByStudent,standardDeviationResponsesByStudent,averageMeetingHoursTotalByStudent,standardDeviationMeetingHoursTotalByStudent,averageMeetingHoursAverageByStudent,standardDeviationMeetingHoursAverageByStudent,averageInPersonMeetingHoursTotalByStudent,standardDeviationInPersonMeetingHoursTotalByStudent,averageInPersonMeetingHoursAverageByStudent,standardDeviationInPersonMeetingHoursAverageByStudent,averageNonCodingDeliverablesHoursTotalByStudent,standardDeviationNonCodingDeliverablesHoursTotalByStudent,averageNonCodingDeliverablesHoursAverageByStudent,standardDeviationNonCodingDeliverablesHoursAverageByStudent,averageCodingDeliverablesHoursTotalByStudent,standardDeviationCodingDeliverablesHoursTotalByStudent,averageCodingDeliverablesHoursAverageByStudent,standardDeviationCodingDeliverablesHoursAverageByStudent,averageHelpHoursTotalByStudent,standardDeviationHelpHoursTotalByStudent,averageHelpHoursAverageByStudent,standardDeviationHelpHoursAverageByStudent,commitCount,uniqueCommitMessageCount,uniqueCommitMessagePercent,commitMessageLengthTotal,commitMessageLengthAverage,commitMessageLengthStandardDeviation,averageCommitCountByWeek,standardDeviationCommitCountByWeek,averageUniqueCommitMessageCountByWeek,standardDeviationUniqueCommitMessageCountByWeek,averageUniqueCommitMessagePercentByWeek,standardDeviationUniqueCommitMessagePercentByWeek,averageCommitMessageLengthTotalByWeek,standardDeviationCommitMessageLengthTotalByWeek,averageCommitCountByStudent,standardDeviationCommitCountByStudent,averageUniqueCommitMessageCountByStudent,issueCount,onTimeIssueCount,lateIssueCount,SE Process grade
3,0,0,1,1,2,2,0,2,2,0,6,6,0,0,0,0,1,1,0,1,0,2,0,2,0,2,0,2,0,6,0,6,0,0,0,0,0,1,0,1,0,1,0,2,0,2,0,2,0,2,0,6,0,6,0,0,0,0,0,1,0,1,0,4,3,0.75,57,14.25,14.463,4,0,3,0,0.75,0,57,0,4,0,3,2,2,0,F
3,0.333,1,1,3,9.714,3.238,3.3,6.286,2.095,1.7,4.571,1.524,0.943,1.714,0.571,0.816,8,2.667,3.091,3,0,9.714,0,3.238,0,6.286,0,2.095,0,4.571,0,1.524,0,1.714,0,0.571,0,8,0,2.667,0,1,0,3.238,1.886,3.238,1.886,2.095,0.971,2.095,0.971,1.524,0.539,1.524,0.539,0.571,0.467,0.571,0.467,2.667,1.766,2.667,1.766,4,3,0.75,127,31.75,6.534,4,0,3,0,0.75,0,127,0,4,0,3,2,2,0,A
4,0,0,1,3,4,1.333,0.471,3.429,1.143,0,6.286,2.095,0.471,1.714,0.571,0.816,1.714,0.571,0,3,0,4,0,1.333,0,3.429,0,1.143,0,6.286,0,2.095,0,1.714,0,0.571,0,1.714,0,0.571,0,1,0,1.333,0.269,1.333,0.269,1.143,0,1.143,0,2.095,0.269,2.095,0.269,0.571,0.467,0.571,0.467,0.571,0,0.571,0,7,1,0.143,0,0,0,7,0,1,0,0.143,0,0,0,7,0,1,1,1,0,F
6,0,0,0,1,2,2,0,1,1,0,1.5,1.5,0,0,0,0,1,1,0,1,0,2,0,2,0,1,0,1,0,1.5,0,1.5,0,0,0,0,0,1,0,1,0,1,0,2,0,2,0,1,0,1,0,1.5,0,1.5,0,0,0,0,0,1,0,1,0,2,2,1,45,22.5,4.5,2,0,2,0,1,0,45,0,2,0,2,0,0,0,A
6,0.167,0,0,3,11,3.667,1.7,5,1.667,0.471,23,7.667,3.771,9,3,4.243,3,1,0,3,0,11,0,3.667,0,5,0,1.667,0,23,0,7.667,0,9,0,3,0,3,0,1,0,1,0,3.667,1.7,3.667,1.7,1.667,0.471,1.667,0.471,7.667,3.771,7.667,3.771,3,4.243,3,4.243,1,0,1,0,1,1,1,13,13,0,1,0,1,0,1,0,13,0,1,0,1,0,0,0,A
6,0.167,0,0,7,10.286,1.469,0.678,10.286,1.469,0.678,8.571,1.224,1.245,0.857,0.122,0.525,4.286,0.612,0.562,7,0,10.286,0,1.469,0,10.286,0,1.469,0,8.571,0,1.224,0,0.857,0,0.122,0,4.286,0,0.612,0,1.167,0.373,1.714,0.286,1.524,0.213,1.714,0.286,1.524,0.213,1.429,0.857,1.19,0.581,0.143,0.319,0.143,0.319,0.714,0.396,0.619,0.347,4,2,0.5,153,38.25,6.495,4,0,2,0,0.5,0,153,0,4,0,2,0,0,0,A
7,0.143,0,0,9,13.714,1.524,0.85,12,1.333,0.972,10,1.111,1.117,28.571,3.175,15.012,5.143,0.571,1.155,9,0,13.714,0,1.524,0,12,0,1.333,0,10,0,1.111,0,28.571,0,3.175,0,5.143,0,0.571,0,1.286,0.452,1.959,0.8,1.551,0.503,1.714,0.966,1.306,0.589,1.429,1.069,1.041,0.694,4.082,9.535,4.041,9.55,0.735,0.663,0.653,0.695,11,10,0.909,291,26.455,14.798,5.5,3.5,5,3,0.944,0.056,145.5,94.5,1.833,0.898,1.833,0,0,0,A
6,0.167,0,0,10,17.143,1.714,2.408,14.286,1.429,1.565,16,1.6,1.6,2.286,0.229,0.663,10.571,1.057,1.733,10,0,17.143,0,1.714,0,14.286,0,1.429,0,16,0,1.6,0,2.286,0,0.229,0,10.571,0,1.057,0,1.667,0.471,2.857,1.475,2,1.503,2.381,1.163,1.524,0.785,2.667,1.463,1.619,0.713,0.381,0.539,0.19,0.269,1.762,1.074,1.119,0.586,9,8,0.889,312,34.667,26.87,9,0,8,0,0.889,0,312,0,9,0,8,0,0,0,A
6,0.167,0,0,8,9.714,1.214,0.599,6.286,0.786,0.696,8,1,0.661,4,0.5,1.965,4.571,0.571,0.5,8,0,9.714,0,1.214,0,6.286,0,0.786,0,8,0,1,0,4,0,0.5,0,4.571,0,0.571,0,1.333,0.471,1.619,0.768,1.19,0.347,1.048,0.693,0.762,0.426,1.333,0.632,1,0.396,0.667,1.253,0.381,0.632,0.762,0.539,0.524,0.256,3,2,0.667,112,37.333,17.913,3,0,2,0,0.667,0,112,0,3,0,2,0,0,0,A
4,0,0,1,3,4.571,1.524,0.471,1.714,0.571,0,2,0.667,0.624,0,0,0,0.857,0.286,0.408,3,0,4.571,0,1.524,0,1.714,0,0.571,0,2,0,0.667,0,0,0,0,0,0.857,0,0.286,0,1,0,1.524,0.269,1.524,0.269,0.571,0,0.571,0,0.667,0.356,0.667,0.356,0,0,0,0,0.286,0.233,0.286,0.233,1,1,1,50,50,0,1,0,1,0,1,0,50,0,1,0,1,0,0,0,F
